sample_id	run_id	fq1	fq2	rgGroup_ID	platform
NHM087	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/historical/NHM4037830087_01_L1_trimmed_merged.fastq.gz	NA	2237NFLT4_L1_01 novoseq
NHM087	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/historical/NHM4037830087_01_L2_trimmed_merged.fastq.gz	NA	22C5Y3LT3_L2_01	novoseq
NHM087	01_L3	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/historical/NHM4037830087_01_L3_trimmed_merged.fastq.gz	NA	22FCYWLT3_L3_01	novoseq
NHM089	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/historical/NHM4037830089_01_L1_trimmed_merged.fastq.gz	NA	2237NFLT4_L1_01	novoseq 
NHM089	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/historical/NHM4037830089_01_L2_trimmed_merged.fastq.gz	NA	22FCYWLT3_L2_01	novoseq
NHM089	01_L3	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/historical/NHM4037830089_01_L3_trimmed_merged.fastq.gz	NA	22C5Y3LT3_L3_01	novoseq
NHM090	01_L3	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/historical/NHM4037830090_01_L3_trimmed_merged.fastq.gz	NA	22C5Y3LT3_L3_01	novoseq
NHM091	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/historical/NHM4037830091_01_L2_trimmed_merged.fastq.gz	NA	22FCYWLT3_L2_01	novoseq
NHM091	01_L3	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/historical/NHM4037830091_01_L3_trimmed_merged.fastq.gz	NA	22C5Y3LT3_L3_01	novoseq
NHM092	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/historical/NHM4037830092_01_L2_trimmed_merged.fastq.gz	NA	22FCYWLT3_L2_01	novoseq
NHM092	01_L3	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/historical/NHM4037830092_01_L3_trimmed_merged.fastq.gz	NA	22C5Y3LT3_L3_01	novoseq
NHM095	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/historical/NHM4037830095_01_L2_trimmed_merged.fastq.gz	NA	22FCYWLT3_L2_01	novoseq
NHM095	01_L3	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/historical/NHM4037830095_01_L3_trimmed_merged.fastq.gz	NA	22C5Y3LT3_L3_01	novoseq
NHM096	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/historical/NHM4037830096_01_L2_trimmed_merged.fastq.gz	NA	22FCYWLT3_L2_01	     novoseq
NHM096	01_L3	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/historical/NHM4037830096_01_L3_trimmed_merged.fastq.gz	NA   22C5Y3LT3_L3_01	novoseq
OX20	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/historical/OX20_01_L2_trimmed_merged.fastq.gz	NA	2237NFLT4_L2_01	novoseq
